zip,sex,age,obese,n,pop
53948,male,55-74,179,359,997
53949,male,55-74,240,418,935
53950,male,55-74,155,279,792
53951,male,55-74,63,144,274
53952,male,55-74,171,295,571
53953,male,55-74,NA,NA,18
53954,male,55-74,369,638,854
53955,male,55-74,328,616,801
53956,male,55-74,117,234,399
53959,male,55-74,250,478,1433
53960,male,55-74,173,297,439
53961,male,55-74,22,48,111
53963,male,55-74,119,234,1230
53964,male,55-74,133,244,451
53965,male,55-74,392,790,1149
54128,male,75+,NA,NA,70
54129,male,75+,NA,NA,141
54130,male,75+,53,129,562
54135,male,75+,NA,NA,68
54136,male,75+,43,111,229
54137,male,75+,NA,NA,54
54138,male,75+,26,61,75
54139,male,75+,37,92,111
54140,male,75+,22,56,207
54141,male,75+,14,35,86
54143,male,75+,20,54,536
54149,male,75+,26,71,83
54150,male,75+,NA,NA,6
54151,male,75+,NA,NA,85
54153,male,75+,69,165,205
54154,male,75+,33,96,185
54155,male,75+,47,109,145
54156,male,75+,NA,NA,55
54157,male,75+,14,36,193
54159,male,75+,NA,NA,39
54160,male,75+,NA,NA,9
54161,male,75+,29,62,120
54162,male,75+,75,170,149
54165,male,75+,59,123,176
54166,male,75+,34,89,702
54169,male,75+,NA,NA,55
54170,male,75+,33,68,89
54171,male,75+,NA,NA,10
54173,male,75+,28,61,71
54174,male,75+,37,82,146
54175,male,75+,31,79,78
54177,male,75+,NA,NA,130
54180,male,75+,NA,NA,42
54201,male,75+,13,41,203
54202,male,75+,NA,NA,89
54204,male,75+,12,30,40
54205,male,75+,NA,NA,90
54207,male,75+,NA,NA,4
54208,male,75+,26,55,138
54209,male,75+,NA,NA,86
54210,male,75+,NA,NA,86
54211,male,75+,NA,NA,20
54212,male,75+,NA,NA,81
54213,male,75+,NA,NA,25
54214,male,75+,NA,NA,5
54216,male,75+,28,53,243
54217,male,75+,53,136,233
54220,male,75+,NA,NA,1544
54227,male,75+,NA,NA,26
54228,male,75+,NA,NA,76
54229,male,75+,30,62,155
54230,male,75+,NA,NA,84
54232,male,75+,NA,NA,20
54234,male,75+,NA,NA,132
54235,male,75+,30,128,688
54241,male,75+,NA,NA,522
54245,male,75+,NA,NA,54
54246,male,75+,NA,NA,45
54247,male,75+,NA,NA,66
54301,male,75+,134,436,426
54302,male,75+,123,358,604
54303,male,75+,137,385,656
54304,male,75+,179,524,949
54307,male,75+,NA,NA,0
54311,male,75+,155,448,915
54313,male,75+,261,639,667
54401,male,75+,371,1146,914
54403,male,75+,245,800,935
54405,male,75+,38,98,161
54406,male,75+,NA,NA,98
54407,male,75+,NA,NA,45
54408,male,75+,17,33,35
54409,male,75+,182,506,459
54410,male,75+,17,34,67
54411,male,75+,71,157,138
54412,male,75+,29,66,63
54413,male,75+,NA,NA,3
54414,male,75+,46,119,125
54416,male,75+,18,38,60
54417,male,75+,NA,NA,4
54418,male,75+,19,49,44
54420,male,75+,NA,NA,33
54421,male,75+,37,100,100
54422,male,75+,NA,NA,33
54423,male,75+,NA,NA,39
54424,male,75+,43,99,95
54425,male,75+,24,56,45
54426,male,75+,57,121,106
54427,male,75+,17,40,36
54428,male,75+,28,68,82
54430,male,75+,NA,NA,4
54433,male,75+,28,55,77
54435,male,75+,31,71,70
54436,male,75+,17,32,55
54437,male,75+,34,76,78
54440,male,75+,40,104,101
54441,male,75+,NA,NA,19
54442,male,75+,18,37,44
54443,male,75+,17,44,74
54446,male,75+,41,84,90
54447,male,75+,NA,NA,28
